Stocks,Market Cap,Sector,Company Name,Nifty 50,BANKNIFTY,Nifty F&O,FINNIFTY,NIFTY AUTO,NIFTY IT,NIFTY FMCG,NIFTY METAL,NIFTY PHARMA,NIFTY OIL & GAS
TATAELXSI,Mid Cap,Information Technology,Tata Elxsi Ltd.,,,,,,,,,,
THERMAX,Mid Cap,Capital Goods,Thermax Ltd.,,,,,,,,,,
TIINDIA,Mid Cap,Automobile and Auto Components,Tube Investments of India Ltd.,,,,,NIFTY AUTO,,,,,
TIMKEN,Mid Cap,Capital Goods,Timken India Ltd.,,,,,,,,,,
TORNTPOWER,Mid Cap,Power,Torrent Power Ltd.,,,,,,,,,,
TRENT,Mid Cap,Consumer Services,Trent Ltd.,,,NIFTY F&O,,,,,,,
TRIDENT,Mid Cap,Textiles,Trident Ltd.,,,,,,,,,,
TTML,Mid Cap,Telecommunication,Tata Teleservices (Maharashtra) Ltd.,,,,,,,,,,
TVSMOTOR,Mid Cap,Automobile and Auto Components,TVS Motor Company Ltd.,,,NIFTY F&O,,NIFTY AUTO,,,,,
UBL,Mid Cap,Fast Moving Consumer Goods,United Breweries Ltd.,,,NIFTY F&O,,,,NIFTY FMCG,,,
UNIONBANK,Mid Cap,Financial Services,Union Bank of India,,,,,,,,,,
UNOMINDA,Mid Cap,Automobile and Auto Components,UNO Minda Ltd.,,,,,,,,,,
VINATIORGA,Mid Cap,Chemicals,Vinati Organics Ltd.,,,,,,,,,,
VOLTAS,Mid Cap,Consumer Durables,Voltas Ltd.,,,NIFTY F&O,,,,,,,
WHIRLPOOL,Mid Cap,Consumer Durables,Whirlpool of India Ltd.,,,,,,,,,,
YESBANK,Mid Cap,Financial Services,Yes Bank Ltd.,,,,,,,,,,
ZEEL,Mid Cap,Media Entertainment & Publication,Zee Entertainment Enterprises Ltd.,,,NIFTY F&O,,,,,,,
ZFCVINDIA,Mid Cap,Automobile and Auto Components,ZF Commercial Vehicle Control Systems India Ltd.,,,,,,,,,,
ZYDUSLIFE,Mid Cap,Healthcare,Zydus Lifesciences Ltd.,,,NIFTY F&O,,,,,,NIFTY PHARMA,
360ONE,Small Cap,Financial Services,360 ONE WAM Ltd.,,,,,,,,,,
AARTIDRUGS,Small Cap,Healthcare,Aarti Drugs Ltd.,,,,,,,,,,
ACI,Small Cap,Chemicals,Archean Chemical Industries Ltd.,,,,,,,,,,
AEGISCHEM,Small Cap,Oil Gas & Consumable Fuels,Aegis Logistics Ltd.,,,,,,,,,,NIFTY OIL & GAS
AETHER,Small Cap,Chemicals,Aether Industries Ltd.,,,,,,,,,,
AMARAJABAT,Small Cap,Automobile and Auto Components,Amara Raja Batteries Ltd.,,,,,,,,,,
AMBER,Small Cap,Consumer Durables,Amber Enterprises India Ltd.,,,,,,,,,,
ANGELONE,Small Cap,Financial Services,Angel One Ltd.,,,,,,,,,,
ANURAS,Small Cap,Chemicals,Anupam Rasayan India Ltd.,,,,,,,,,,
APARINDS,Small Cap,Capital Goods,Apar Industries Ltd.,,,,,,,,,,
APLLTD,Small Cap,Healthcare,Alembic Pharmaceuticals Ltd.,,,,,,,,,,
APTUS,Small Cap,Financial Services,Aptus Value Housing Finance India Ltd.,,,,,,,,,,
ASAHIINDIA,Small Cap,Automobile and Auto Components,Asahi India Glass Ltd.,,,,,,,,,,
ASTERDM,Small Cap,Healthcare,Aster DM Healthcare Ltd.,,,,,,,,,,
AVANTIFEED,Small Cap,Fast Moving Consumer Goods,Avanti Feeds Ltd.,,,,,,,,,,
BALAMINES,Small Cap,Chemicals,Balaji Amines Ltd.,,,,,,,,,,
BALRAMCHIN,Small Cap,Fast Moving Consumer Goods,Balrampur Chini Mills Ltd.,,,NIFTY F&O,,,,,,,
BASF,Small Cap,Chemicals,BASF India Ltd.,,,,,,,,,,
BBTC,Small Cap,Fast Moving Consumer Goods,Bombay Burmah Trading Corporation Ltd.,,,,,,,,,,
BCG,Small Cap,Information Technology,Brightcom Group Ltd.,,,,,,,,,,
BDL,Small Cap,Capital Goods,Bharat Dynamics Ltd.,,,,,,,,,,
BEML,Small Cap,Capital Goods,BEML Ltd.,,,,,,,,,,
BIKAJI,Small Cap,Fast Moving Consumer Goods,Bikaji Foods International Ltd.,,,,,,,,,,
BIRLACORPN,Small Cap,Construction Materials,Birla Corporation Ltd.,,,,,,,,,,
BLS,Small Cap,Consumer Services,BLS International Services Ltd.,,,,,,,,,,
BLUESTARCO,Small Cap,Consumer Durables,Blue Star Ltd.,,,,,,,,,,
BORORENEW,Small Cap,Capital Goods,Borosil Renewables Ltd.,,,,,,,,,,
BRIGADE,Small Cap,Realty,Brigade Enterprises Ltd.,,,,,,,,,,
BSE,Small Cap,Financial Services,BSE Ltd.,,,,,,,,,,
BSOFT,Small Cap,Information Technology,Birlasoft Ltd.,,,NIFTY F&O,,,,,,,
CAMPUS,Small Cap,Consumer Durables,Campus Activewear Ltd.,,,,,,,,,,
CAMS,Small Cap,Financial Services,Computer Age Management Services Ltd.,,,,,,,,,,
CANFINHOME,Small Cap,Financial Services,Can Fin Homes Ltd.,,,NIFTY F&O,,,,,,,
CARBORUNIV,Small Cap,Capital Goods,Carborundum Universal Ltd.,,,,,,,,,,
CASTROLIND,Small Cap,Oil Gas & Consumable Fuels,Castrol India Ltd.,,,,,,,,,,NIFTY OIL & GAS
CCL,Small Cap,Fast Moving Consumer Goods,CCL Products (I) Ltd.,,,,,,,,,,
CDSL,Small Cap,Financial Services,Central Depository Services (India) Ltd.,,,,,,,,,,
CEATLTD,Small Cap,Automobile and Auto Components,Ceat Ltd.,,,,,,,,,,
CENTRALBK,Small Cap,Financial Services,Central Bank of India,,,,,,,,,,
CENTURYPLY,Small Cap,Consumer Durables,Century Plyboards (India) Ltd.,,,,,,,,,,
CENTURYTEX,Small Cap,Forest Materials,Century Textile & Industries Ltd.,,,,,,,,,,
CERA,Small Cap,Consumer Durables,Cera Sanitaryware Ltd,,,,,,,,,,
CESC,Small Cap,Power,CESC Ltd.,,,,,,,,,,
CGCL,Small Cap,Financial Services,Capri Global Capital Ltd.,,,,,,,,,,
CHALET,Small Cap,Consumer Services,Chalet Hotels Ltd.,,,,,,,,,,
CHAMBLFERT,Small Cap,Chemicals,Chambal Fertilizers & Chemicals Ltd.,,,NIFTY F&O,,,,,,,
CHEMPLASTS,Small Cap,Chemicals,Chemplast Sanmar Ltd.,,,,,,,,,,
CHOLAHLDNG,Small Cap,Financial Services,Cholamandalam Financial Holdings Ltd.,,,,,,,,,,
CIEINDIA,Small Cap,Automobile and Auto Components,CIE Automotive India Ltd.,,,,,,,,,,
COCHINSHIP,Small Cap,Capital Goods,Cochin Shipyard Ltd.,,,,,,,,,,
CRAFTSMAN,Small Cap,Automobile and Auto Components,Craftsman Automation Ltd.,,,,,,,,,,
CREDITACC,Small Cap,Financial Services,CreditAccess Grameen Ltd.,,,,,,,,,,
CSBBANK,Small Cap,Financial Services,CSB Bank Ltd.,,,,,,,,,,
CUB,Small Cap,Financial Services,City Union Bank Ltd.,,,NIFTY F&O,,,,,,,
CYIENT,Small Cap,Information Technology,Cyient Ltd.,,,,,,,,,,
DATAPATTNS,Small Cap,Capital Goods,Data Patterns (India) Ltd.,,,,,,,,,,
DCMSHRIRAM,Small Cap,Diversified,DCM Shriram Ltd.,,,,,,,,,,
DEEPAKFERT,Small Cap,Chemicals,Deepak Fertilisers & Petrochemicals Corp. Ltd.,,,,,,,,,,
DELTACORP,Small Cap,Consumer Services,Delta Corp Ltd.,,,NIFTY F&O,,,,,,,
EASEMYTRIP,Small Cap,Consumer Services,Easy Trip Planners Ltd.,,,,,,,,,,
ECLERX,Small Cap,Services,eClerx Services Ltd.,,,,,,,,,,
EIDPARRY,Small Cap,Chemicals,E.I.D. Parry (India) Ltd.,,,,,,,,,,
EIHOTEL,Small Cap,Consumer Services,EIH Ltd.,,,,,,,,,,
ELGIEQUIP,Small Cap,Capital Goods,Elgi Equipments Ltd.,,,,,,,,,,
ENGINERSIN,Small Cap,Construction,Engineers India Ltd.,,,,,,,,,,
EPL,Small Cap,Capital Goods,EPL Ltd.,,,,,,,,,,
EQUITASBNK,Small Cap,Financial Services,Equitas Small Finance Bank Ltd.,,,,,,,,,,
ERIS,Small Cap,Healthcare,Eris Lifesciences Ltd.,,,,,,,,,,
EXIDEIND,Small Cap,Automobile and Auto Components,Exide Industries Ltd.,,,NIFTY F&O,,,,,,,
FACT,Small Cap,Chemicals,Fertilisers and Chemicals Travancore Ltd.,,,,,,,,,,
FDC,Small Cap,Healthcare,FDC Ltd.,,,,,,,,,,
FINCABLES,Small Cap,Capital Goods,Finolex Cables Ltd.,,,,,,,,,,
FINPIPE,Small Cap,Capital Goods,Finolex Industries Ltd.,,,,,,,,,,
FIVESTAR,Small Cap,Financial Services,Five-Star Business Finance Ltd.,,,,,,,,,,
FSL,Small Cap,Services,Firstsource Solutions Ltd.,,,,,,,,,,
GAEL,Small Cap,Fast Moving Consumer Goods,Gujarat Ambuja Exports Ltd.,,,,,,,,,,
GALAXYSURF,Small Cap,Chemicals,Galaxy Surfactants Ltd.,,,,,,,,,,
GARFIBRES,Small Cap,Textiles,Garware Technical Fibres Ltd.,,,,,,,,,,
GESHIP,Small Cap,Services,Great Eastern Shipping Co. Ltd.,,,,,,,,,,
GLENMARK,Small Cap,Healthcare,Glenmark Pharmaceuticals Ltd.,,,NIFTY F&O,,,,,,NIFTY PHARMA,
GMMPFAUDLR,Small Cap,Capital Goods,GMM Pfaudler Ltd.,,,,,,,,,,
GNFC,Small Cap,Chemicals,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,,,NIFTY F&O,,,,,,,
GOCOLORS,Small Cap,Consumer Services,Go Fashion (India) Ltd.,,,,,,,,,,
GODFRYPHLP,Small Cap,Fast Moving Consumer Goods,Godfrey Phillips India Ltd.,,,,,,,,,,
GODREJAGRO,Small Cap,Fast Moving Consumer Goods,Godrej Agrovet Ltd.,,,,,,,,,,
GPPL,Small Cap,Services,Gujarat Pipavav Port Ltd.,,,,,,,,,,
GRANULES,Small Cap,Healthcare,Granules India Ltd.,,,NIFTY F&O,,,,,,NIFTY PHARMA,
GRAPHITE,Small Cap,Capital Goods,Graphite India Ltd.,,,,,,,,,,
GREENPANEL,Small Cap,Consumer Durables,Greenpanel Industries Ltd.,,,,,,,,,,
GRINFRA,Small Cap,Construction,G R Infraprojects Ltd.,,,,,,,,,,
GSFC,Small Cap,Chemicals,Gujarat State Fertilizers & Chemicals Ltd.,,,,,,,,,,
GSPL,Small Cap,Oil Gas & Consumable Fuels,Gujarat State Petronet Ltd.,,,,,,,,,,NIFTY OIL & GAS
GUJALKALI,Small Cap,Chemicals,Gujarat Alkalies & Chemicals Ltd.,,,,,,,,,,
HEG,Small Cap,Capital Goods,H.E.G. Ltd.,,,,,,,,,,
HFCL,Small Cap,Telecommunication,HFCL Ltd.,,,,,,,,,,
HGS,Small Cap,Services,Hinduja Global Solutions Ltd.,,,,,,,,,,
HIKAL,Small Cap,Healthcare,Hikal Ltd.,,,,,,,,,,
HINDCOPPER,Small Cap,Metals & Mining,Hindustan Copper Ltd.,,,NIFTY F&O,,,,,NIFTY METAL,,
HLEGLAS,Small Cap,Capital Goods,HLE Glascoat Ltd.,,,,,,,,,,
HOMEFIRST,Small Cap,Financial Services,Home First Finance Company India Ltd.,,,,,,,,,,
HUDCO,Small Cap,Financial Services,Housing & Urban Development Corporation Ltd.,,,,,,,,,,
IBREALEST,Small Cap,Realty,Indiabulls Real Estate Ltd.,,,,,,,,,,
IBULHSGFIN,Small Cap,Financial Services,Indiabulls Housing Finance Ltd.,,,NIFTY F&O,,,,,,,
IDBI,Small Cap,Financial Services,IDBI Bank Ltd.,,,,,,,,,,
IDFC,Small Cap,Financial Services,IDFC Ltd.,,,NIFTY F&O,,,,,,,
IEX,Small Cap,Financial Services,Indian Energy Exchange Ltd.,,,NIFTY F&O,FINNIFTY,,,,,,
IFBIND,Small Cap,Consumer Durables,IFB Industries Ltd.,,,,,,,,,,
IIFL,Small Cap,Financial Services,IIFL Finance Ltd.,,,,,,,,,,
INDIACEM,Small Cap,Construction Materials,India Cements Ltd.,,,NIFTY F&O,,,,,,,
INDIAMART,Small Cap,Consumer Services,Indiamart Intermesh Ltd.,,,NIFTY F&O,,,,,,,
INDIGOPNTS,Small Cap,Consumer Durables,Indigo Paints Ltd.,,,,,,,,,,
INFIBEAM,Small Cap,Financial Services,Infibeam Avenues Ltd.,,,,,,,,,,
INGERRAND,Small Cap,Capital Goods,Ingersoll Rand (India) Ltd.,,,,,,,,,,
INTELLECT,Small Cap,Information Technology,Intellect Design Arena Ltd.,,,,,,,,,,
IOB,Small Cap,Financial Services,Indian Overseas Bank,,,,,,,,,,
IRB,Small Cap,Construction,IRB Infrastructure Developers Ltd.,,,,,,,,,,
ITI,Small Cap,Telecommunication,ITI Ltd.,,,,,,,,,,
JAMNAAUTO,Small Cap,Automobile and Auto Components,Jamna Auto Industries Ltd.,,,,,,,,,,
JBCHEPHARM,Small Cap,Healthcare,J.B. Chemicals & Pharmaceuticals Ltd.,,,,,,,,,,
JBMA,Small Cap,Automobile and Auto Components,JBM Auto Ltd.,,,,,,,,,,
JINDWORLD,Small Cap,Textiles,Jindal Worldwide Ltd.,,,,,,,,,,
JKLAKSHMI,Small Cap,Construction Materials,JK Lakshmi Cement Ltd.,,,,,,,,,,
JKPAPER,Small Cap,Forest Materials,JK Paper Ltd.,,,,,,,,,,
JMFINANCIL,Small Cap,Financial Services,JM Financial Ltd.,,,,,,,,,,
JSL,Small Cap,Metals & Mining,Jindal Stainless Ltd.,,,,,,,,NIFTY METAL,,
JUBLINGREA,Small Cap,Chemicals,Jubilant Ingrevia Ltd.,,,,,,,,,,
JUBLPHARMA,Small Cap,Healthcare,Jubilant Pharmova Ltd.,,,,,,,,,,
JUSTDIAL,Small Cap,Consumer Services,Justdial Ltd.,,,,,,,,,,
JYOTHYLAB,Small Cap,Fast Moving Consumer Goods,Jyothy Labs Ltd.,,,,,,,,,,
KALYANKJIL,Small Cap,Consumer Durables,Kalyan Jewellers India Ltd.,,,,,,,,,,
KARURVYSYA,Small Cap,Financial Services,Karur Vysya Bank Ltd.,,,,,,,,,,
KEC,Small Cap,Capital Goods,Kec International Ltd.,,,,,,,,,,
KEI,Small Cap,Capital Goods,KEI Industries Ltd.,,,,,,,,,,
KENNAMET,Small Cap,Capital Goods,Kennametal India Ltd.,,,,,,,,,,
KFINTECH,Small Cap,Financial Services,Kfin Technologies Ltd.,,,,,,,,,,
KIMS,Small Cap,Healthcare,Krishna Institute of Medical Sciences Ltd.,,,,,,,,,,
KNRCON,Small Cap,Construction,KNR Constructions Ltd.,,,,,,,,,,
KPIL,Small Cap,Construction,Kalpataru Projects International Ltd.,,,,,,,,,,
KPITTECH,Small Cap,Information Technology,KPIT Technologies Ltd.,,,,,,,,,,
KRBL,Small Cap,Fast Moving Consumer Goods,KRBL Ltd.,,,,,,,,,,
KSB,Small Cap,Capital Goods,KSB Ltd.,,,,,,,,,,
LATENTVIEW,Small Cap,Information Technology,Latent View Analytics Ltd.,,,,,,,,,,
LAXMIMACH,Small Cap,Capital Goods,Lakshmi Machine Works Ltd.,,,,,,,,,,
LEMONTREE,Small Cap,Consumer Services,Lemon Tree Hotels Ltd.,,,,,,,,,,
LUXIND,Small Cap,Textiles,Lux Industries Ltd.,,,,,,,,,,
LXCHEM,Small Cap,Chemicals,Laxmi Organic Industries Ltd.,,,,,,,,,,
MAHABANK,Small Cap,Financial Services,Bank of Maharashtra,,,,,,,,,,
MAHLIFE,Small Cap,Realty,Mahindra Lifespace Developers Ltd.,,,,,,,,,,
MAHLOG,Small Cap,Services,Mahindra Logistics Ltd.,,,,,,,,,,
MANAPPURAM,Small Cap,Financial Services,Manappuram Finance Ltd.,,,NIFTY F&O,,,,,,,
MAPMYINDIA,Small Cap,Information Technology,C.E. Info Systems Ltd.,,,,,,,,,,
MASTEK,Small Cap,Information Technology,Mastek Ltd.,,,,,,,,,,
MAZDOCK,Small Cap,Capital Goods,Mazagoan Dock Shipbuilders Ltd.,,,,,,,,,,
MCX,Small Cap,Financial Services,Multi Commodity Exchange of India Ltd.,,,NIFTY F&O,,,,,,,
MEDANTA,Small Cap,Healthcare,Global Health Ltd.,,,,,,,,,,
MEDPLUS,Small Cap,Consumer Services,Medplus Health Services Ltd.,,,,,,,,,,
METROPOLIS,Small Cap,Healthcare,Metropolis Healthcare Ltd.,,,NIFTY F&O,,,,,,,
MFL,Small Cap,Chemicals,Meghmani Finechem Ltd.,,,,,,,,,,
MGL,Small Cap,Oil Gas & Consumable Fuels,Mahanagar Gas Ltd.,,,NIFTY F&O,,,,,,,NIFTY OIL & GAS
MHRIL,Small Cap,Consumer Services,Mahindra Holidays & Resorts India Ltd.,,,,,,,,,,
MMTC,Small Cap,Services,MMTC Ltd.,,,,,,,,,,
MOTILALOFS,Small Cap,Financial Services,Motilal Oswal Financial Services Ltd.,,,,,,,,,,
MRPL,Small Cap,Oil Gas & Consumable Fuels,Mangalore Refinery & Petrochemicals Ltd.,,,,,,,,,,
MTARTECH,Small Cap,Capital Goods,MTAR Technologies Ltd.,,,,,,,,,,
NATCOPHARM,Small Cap,Healthcare,NATCO Pharma Ltd.,,,,,,,,,NIFTY PHARMA,
NATIONALUM,Small Cap,Metals & Mining,National Aluminium Co. Ltd.,,,NIFTY F&O,,,,,NIFTY METAL,,
NAZARA,Small Cap,Media Entertainment & Publication,Nazara Technologies Ltd.,,,,,,,,,,
NBCC,Small Cap,Construction,NBCC (India) Ltd.,,,,,,,,,,
NCC,Small Cap,Construction,NCC Ltd.,,,,,,,,,,
NETWORK18,Small Cap,Media Entertainment & Publication,Network18 Media & Investments Ltd.,,,,,,,,,,
NH,Small Cap,Healthcare,Narayana Hrudayalaya Ltd.,,,,,,,,,,
NLCINDIA,Small Cap,Power,NLC India Ltd.,,,,,,,,,,
NOCIL,Small Cap,Chemicals,NOCIL Ltd.,,,,,,,,,,
NSLNISP,Small Cap,Metals & Mining,NMDC Steel Ltd.,,,,,,,,,,
NUVOCO,Small Cap,Construction Materials,Nuvoco Vistas Corporation Ltd.,,,,,,,,,,
OLECTRA,Small Cap,Automobile and Auto Components,Olectra Greentech Ltd.,,,,,,,,,,
ORIENTELEC,Small Cap,Consumer Durables,Orient Electric Ltd.,,,,,,,,,,
PCBL,Small Cap,Chemicals,PCBL Ltd.,,,,,,,,,,
PNBHOUSING,Small Cap,Financial Services,PNB Housing Finance Ltd.,,,,,,,,,,
PNCINFRA,Small Cap,Construction,PNC Infratech Ltd.,,,,,,,,,,
POLYMED,Small Cap,Healthcare,Poly Medicure Ltd.,,,,,,,,,,
POLYPLEX,Small Cap,Capital Goods,Polyplex Corporation Ltd.,,,,,,,,,,
POWERINDIA,Small Cap,Capital Goods,Hitachi Energy India Ltd.,,,,,,,,,,
PPLPHARMA,Small Cap,Healthcare,Piramal Pharma Ltd.,,,,,,,,,,
PRAJIND,Small Cap,Capital Goods,Praj Industries Ltd.,,,,,,,,,,
PRINCEPIPE,Small Cap,Capital Goods,Prince Pipes and Fittings Ltd.,,,,,,,,,,
PRSMJOHNSN,Small Cap,Construction Materials,Prism Johnson Ltd.,,,,,,,,,,
PVRINOX,Small Cap,Media Entertainment & Publication,PVR INOX Ltd.,,,NIFTY F&O,,,,,,,
QUESS,Small Cap,Services,Quess Corp Ltd.,,,,,,,,,,
RADICO,Small Cap,Fast Moving Consumer Goods,Radico Khaitan Ltd,,,,,,,NIFTY FMCG,,,
RAIN,Small Cap,Chemicals,Rain Industries Ltd,,,,,,,,,,
RAINBOW,Small Cap,Healthcare,Rainbow Childrens Medicare Ltd.,,,,,,,,,,
RALLIS,Small Cap,Chemicals,Rallis India Ltd.,,,,,,,,,,
RATNAMANI,Small Cap,Capital Goods,Ratnamani Metals & Tubes Ltd.,,,,,,,,NIFTY METAL,,
RAYMOND,Small Cap,Textiles,Raymond Ltd.,,,,,,,,,,
RBA,Small Cap,Consumer Services,Restaurant Brands Asia Ltd.,,,,,,,,,,
RBLBANK,Small Cap,Financial Services,RBL Bank Ltd.,,,NIFTY F&O,,,,,,,
RCF,Small Cap,Chemicals,Rashtriya Chemicals & Fertilizers Ltd.,,,,,,,,,,
REDINGTON,Small Cap,Services,Redington Ltd.,,,,,,,,,,
RENUKA,Small Cap,Fast Moving Consumer Goods,Shree Renuka Sugars Ltd.,,,,,,,,,,
RHIM,Small Cap,Capital Goods,RHI MAGNESITA INDIA LTD.,,,,,,,,,,
RITES,Small Cap,Construction,RITES Ltd.,,,,,,,,,,
ROSSARI,Small Cap,Chemicals,Rossari Biotech Ltd.,,,,,,,,,,
ROUTE,Small Cap,Telecommunication,Route Mobile Ltd.,,,,,,,,,,
RTNINDIA,Small Cap,Services,RattanIndia Enterprises Ltd.,,,,,,,,,,
RUSTOMJEE,Small Cap,Realty,Keystone Realtors Ltd.,,,,,,,,,,
RVNL,Small Cap,Construction,Rail Vikas Nigam Ltd.,,,,,,,,,,
SANOFI,Small Cap,Healthcare,Sanofi India Ltd.,,,,,,,,,NIFTY PHARMA,
SAPPHIRE,Small Cap,Consumer Services,Sapphire Foods India Ltd.,,,,,,,,,,
SHARDACROP,Small Cap,Chemicals,Sharda Cropchem Ltd.,,,,,,,,,,
SHOPERSTOP,Small Cap,Consumer Services,Shoppers Stop Ltd.,,,,,,,,,,
SHYAMMETL,Small Cap,Metals & Mining,Shyam Metalics and Energy Ltd.,,,,,,,,,,
SJVN,Small Cap,Power,SJVN Ltd.,,,,,,,,,,
SOBHA,Small Cap,Realty,Sobha Ltd.,,,,,,,,,,
SONATSOFTW,Small Cap,Information Technology,Sonata Software Ltd.,,,,,,,,,,
SPARC,Small Cap,Healthcare,Sun Pharma Advanced Research Company Ltd.,,,,,,,,,,
STLTECH,Small Cap,Telecommunication,Sterlite Technologies Ltd.,,,,,,,,,,
SUNTECK,Small Cap,Realty,Sunteck Realty Ltd.,,,,,,,,,,
SUPRAJIT,Small Cap,Automobile and Auto Components,Suprajit Engineering Ltd.,,,,,,,,,,
SUVENPHAR,Small Cap,Healthcare,Suven Pharmaceuticals Ltd.,,,,,,,,,,
SUZLON,Small Cap,Capital Goods,Suzlon Energy Ltd.,,,,,,,,,,
SWANENERGY,Small Cap,Realty,Swan Energy Ltd.,,,,,,,,,,
SWSOLAR,Small Cap,Construction,Sterling and Wilson Renewable Energy Ltd.,,,,,,,,,,
TANLA,Small Cap,Information Technology,Tanla Platforms Ltd.,,,,,,,,,,
TATAINVEST,Small Cap,Financial Services,Tata Investment Corporation Ltd.,,,,,,,,,,
TCI,Small Cap,Services,Transport Corporation of India Ltd.,,,,,,,,,,
TCIEXP,Small Cap,Services,TCI Express Ltd.,,,,,,,,,,
TCNSBRANDS,Small Cap,Textiles,TCNS Clothing Co. Ltd.,,,,,,,,,,
TEAMLEASE,Small Cap,Services,Teamlease Services Ltd.,,,,,,,,,,
TEJASNET,Small Cap,Telecommunication,Tejas Networks Ltd.,,,,,,,,,,
TMB,Small Cap,Financial Services,Tamilnad Mercantile Bank Ltd.,,,,,,,,,,
TRITURBINE,Small Cap,Capital Goods,Triveni Turbine Ltd.,,,,,,,,,,
TRIVENI,Small Cap,Fast Moving Consumer Goods,Triveni Engineering & Industries Ltd.,,,,,,,,,,
TTKPRESTIG,Small Cap,Consumer Durables,TTK Prestige Ltd.,,,,,,,,,,
TV18BRDCST,Small Cap,Media Entertainment & Publication,TV18 Broadcast Ltd.,,,,,,,,,,
UCOBANK,Small Cap,Financial Services,UCO Bank,,,,,,,,,,
UFLEX,Small Cap,Capital Goods,UFLEX Ltd.,,,,,,,,,,
UTIAMC,Small Cap,Financial Services,UTI Asset Management Company Ltd.,,,,,,,,,,
VAIBHAVGBL,Small Cap,Consumer Durables,Vaibhav Global Ltd.,,,,,,,,,,
VARROC,Small Cap,Automobile and Auto Components,Varroc Engineering Ltd.,,,,,,,,,,
VGUARD,Small Cap,Consumer Durables,V-Guard Industries Ltd.,,,,,,,,,,
VIJAYA,Small Cap,Healthcare,Vijaya Diagnostic Centre Ltd.,,,,,,,,,,
VIPIND,Small Cap,Consumer Durables,V.I.P. Industries Ltd.,,,,,,,,,,
VMART,Small Cap,Consumer Services,V-Mart Retail Ltd.,,,,,,,,,,
VTL,Small Cap,Textiles,Vardhman Textiles Ltd.,,,,,,,,,,
WELCORP,Small Cap,Capital Goods,Welspun Corp Ltd.,,,,,,,,NIFTY METAL,,
WELSPUNIND,Small Cap,Textiles,Welspun India Ltd.,,,,,,,,,,
WESTLIFE,Small Cap,Consumer Services,Westlife Foodworld Ltd.,,,,,,,,,,
ZENSARTECH,Small Cap,Information Technology,Zensar Technolgies Ltd.,,,,,,,,,,
ZYDUSWELL,Small Cap,Fast Moving Consumer Goods,Zydus Wellness Ltd.,,,,,,,,,,
